club_id,name,club_type_id,mcc_category
2,현아내히,1,NULL
19,조선대학교 총동아리연합회,4,100
22,GAON,2,2
23,Free$t.,3,2
24,얼쑤얼티밋,3,6
29,청람,3,4
32,순천대학교 제 37대 총동아리연합회 ‘드림',4,100
37,ShockdriveR,3,6
39,PAN's PM (목신의 오후),3,2
41,C-beacon,2,2
42,하모닉스,3,2
47,생활패턴붕괴,1,NULL
48,소박한기쁨,3,2
49,음률,3,2
50,리블링,1,2
52,김소정과 아이들,1,2
53,ESC,1,2
55,음소거,2,2
61,그림촌,3,2
62,U.C.D.C.,3,2
64,뮤즈,3,2
65,CARAVAN,3,2
72,늘품동아리연합회,4,100
75,노래의 메아리,3,2
76,타임,3,4
77,?밴드동아리 스트리츠?,3,2
82,GameCrew,3,6
83,탁구동아리 DAPPA,3,6
85,DAU-L,3,6
86,가온 로타랙트,3,5
87,Colony,3,4
88,보드동아리 파이,3,6
89,FLAT,3,NULL
90,KARION 가리온,3,2
91,호우회,3,5
93,한별,3,NULL
94,유네스코,3,4
97,신서유기,3,4
101,윤유월,3,NULL
102,COMA,3,2
103,동아 극예술연구회,3,2
104,리드머,3,2
107,DUBA두바,3,6
108,AMIGO,3,4
110,팝콘,3,NULL
112,나눔동아리,3,5
114,가톨릭학생회,3,3
115,Boa,3,NULL
116,볼링동아리,3,6
117,??토론 동아리 성아회 55기 신입부원 모집??,3,4
119,그랑부르,3,6
120,예수전도단,3,3
121,그린액션,3,5
123,JDM,3,3
124,풀카운트,3,NULL
125,ISA,3,4
129,풀섶,3,NULL
130,크레파스 앙상블,3,2
131,한아리,3,2
132,Freaks 프릭스,3,2
133,흥사단 아카데미,3,4
134,ABC마케팅,3,4
135,하늘사랑,3,4
136,애니멀애니몰,3,5
139,사진예술연구회,3,2
140,OPTION,3,4
141,PTP,3,5
142,MRA,3,5
144,당나귀,3,5
145,두드림,3,5
146,FGC,3,2
148,인터카툰,3,2
151,흙사랑,3,5
153,조대관현악반,3,2
154,ESF,3,3
158,나라얀(narayan),3,NULL
160,DSM,3,3
162,동아검도회,3,6
163,가톨릭 학생회,3,3
164,SFC,3,3
165,원불교 학생회,3,3
167,CCC,3,3
168,대자연,3,4
