club_type_id,user_id,club_id
1,20,2
4,34,19
4,36,19
2,21,22
1,46,2
3,46,23
3,45,23
3,32,23
1,18,26
4,50,28
3,20,23
4,57,19
4,59,19
3,41,29
3,63,29
3,64,29
3,66,29
3,67,23
3,69,31
1,21,2
3,76,23
3,77,23
3,78,23
3,79,23
4,111,19
4,110,19
3,116,37
3,32,37
3,117,37
3,118,37
3,119,37
3,120,37
3,121,37
3,122,37
3,123,37
3,124,37
3,125,37
3,1,37
3,126,37
3,127,37
3,114,39
3,130,37
2,134,41
2,135,41
2,136,41
2,137,41
3,139,37
2,140,41
2,142,41
2,143,41
3,73,39
3,146,42
3,149,44
3,151,42
2,141,41
2,152,41
3,155,39
2,156,41
3,157,39
2,158,41
2,160,41
3,161,23
3,147,46
2,162,41
1,20,47
2,164,41
1,21,47
1,46,47
2,165,41
2,167,41
2,168,41
2,171,41
2,172,41
2,138,41
3,175,49
1,176,47
3,177,49
3,178,49
3,179,49
3,180,37
3,181,49
3,43,49
3,182,49
3,183,49
3,184,49
3,185,49
3,186,37
3,187,49
3,188,49
3,189,49
1,191,50
3,196,51
1,176,52
3,197,49
1,192,52
1,21,52
1,198,52
1,20,52
1,193,52
3,163,39
3,204,39
3,203,39
3,199,48
1,199,53
3,173,54
1,206,50
3,208,49
2,145,55
1,212,50
1,214,50
1,215,50
3,216,57
2,218,55
3,220,58
1,222,50
3,49,57
3,224,58
3,228,42
3,229,57
3,230,57
3,231,57
3,232,58
3,233,58
3,235,54
3,236,54
3,237,54
3,239,54
3,241,54
3,242,54
3,243,54
3,244,54
3,245,54
3,246,54
3,247,54
3,248,54
3,249,54
3,251,49
1,253,50
1,213,50
1,254,50
1,255,50
3,260,59
3,262,59
3,264,59
3,265,59
3,267,59
3,268,59
3,269,59
3,270,59
3,271,59
3,19,57
3,274,59
3,288,23
3,289,23
2,291,55
3,292,61
3,293,61
3,294,62
3,296,62
3,295,62
3,299,62
3,302,62
3,297,62
3,305,62
1,311,63
3,169,64
3,33,64
3,313,64
3,316,64
3,314,64
3,312,64
3,315,64
3,317,64
3,320,62
3,301,62
3,301,65
3,321,65
3,323,65
3,327,62
3,326,62
3,329,62
3,332,48
3,333,48
3,334,48
1,334,53
3,336,65
3,337,48
3,340,62
4,348,66
2,84,22
4,352,71
4,354,28
4,355,71
4,356,71
3,367,73
3,361,74
3,374,73
3,375,74
3,377,74
3,322,65
3,368,73
3,383,77
3,382,77
3,369,73
3,385,73
3,386,73
4,391,72
4,387,72
3,387,77
3,396,82
3,408,75
3,395,83
4,390,72
3,397,85
3,412,83
3,414,85
3,416,85
3,418,83
3,398,86
3,403,88
3,427,85
3,420,87
3,421,87
3,422,87
3,404,90
3,428,85
3,429,85
3,426,90
3,425,90
3,430,90
3,407,90
3,431,85
3,402,91
3,432,85
3,434,85
3,435,85
3,438,90
3,433,89
3,424,93
3,401,94
3,440,94
3,441,94
3,442,94
3,445,94
3,447,93
3,448,83
3,437,97
4,382,72
4,451,72
3,451,77
4,452,72
3,446,97
3,454,97
3,455,97
3,456,85
3,459,93
3,461,94
3,463,101
3,465,102
3,466,101
3,469,89
3,471,97
3,472,23
3,473,85
3,475,83
4,467,72
4,383,72
4,417,72
3,480,93
4,459,72
3,486,83
3,488,107
3,492,108
3,493,110
3,496,110
3,494,112
3,500,110
3,499,114
3,501,115
3,502,107
3,503,107
3,502,101
3,502,91
3,504,107
3,506,107
3,508,107
3,509,107
3,511,107
3,510,110
3,512,107
3,513,107
3,514,107
3,515,107
3,439,116
3,518,107
3,405,117
3,520,85
3,522,88
3,524,107
3,523,107
3,399,119
3,528,120
3,530,107
3,534,94
3,534,91
3,535,121
3,537,121
3,111,121
3,536,123
3,542,124
3,543,121
3,545,64
3,544,125
3,532,120
3,546,121
3,547,121
3,548,124
3,549,124
3,550,124
3,553,124
3,553,23
3,553,48
3,551,124
3,555,94
3,555,93
3,557,124
3,559,121
3,560,97
3,561,121
3,562,64
3,563,64
3,564,64
3,415,129
3,566,130
3,571,121
3,572,64
3,573,64
3,574,85
3,569,131
3,568,132
3,575,121
4,577,19
4,582,19
3,581,134
3,580,135
3,583,134
3,584,120
3,577,29
4,584,19
3,586,135
3,587,135
3,585,135
3,588,135
4,589,19
3,591,135
4,592,19
3,590,135
4,593,19
3,594,85
3,595,85
3,598,85
3,599,85
3,601,135
3,597,134
3,602,135
3,605,136
3,606,135
3,607,135
3,608,124
3,609,139
3,538,140
3,611,135
4,612,19
3,614,141
3,410,142
3,617,142
4,616,19
3,618,64
3,620,142
3,619,124
3,622,144
3,470,146
3,624,145
3,484,148
3,625,151
3,627,153
3,630,29
3,631,121
3,632,142
3,629,142
3,497,154
3,737,107
3,731,107
3,748,93
4,151,19
3,746,107
3,778,37
3,844,64
3,918,107
3,900,158
3,931,160
3,610,135
3,34,133
3,975,135
3,411,162
3,1016,140
3,1021,135
3,1061,140
3,1062,140
3,1075,140
3,1091,140
3,1114,135
3,1181,140
4,1199,19
3,942,162
3,1227,77
3,953,107
3,1212,164
3,881,163
3,1007,94
3,1248,135
3,628,75
3,672,139
3,1274,77
3,1272,165
3,1249,97
4,517,28
3,1299,110
3,1288,110
3,1295,110
3,703,87
3,1345,97
3,1344,97
3,956,112
3,1348,112
3,1350,112
3,1193,107
3,1380,116
3,1389,110
3,645,87
3,1125,167
3,1079,97
3,1305,168
3,635,91
3,1416,162
3,1417,77
3,789,102
3,1422,162
3,1424,162
3,1425,162
3,1428,162
3,460,169
3,1432,162
3,1433,133
3,1419,172
3,1437,97
3,1442,83
3,1448,162
3,1449,162
3,1452,162
3,1455,87
3,1456,102
3,1457,162
3,1459,102
3,1460,102
3,1461,102
3,1463,102
3,1447,162
3,1474,102
3,1495,102
3,1493,174
3,1503,174
3,1507,135
3,1172,77
3,1521,176
3,1522,48
3,472,48
3,1366,48
3,388,93
3,947,91
3,1529,64
3,53,178
3,1530,179
3,400,180
3,1533,142
3,1542,124
3,1320,186
3,1544,187
3,1538,185
3,1200,188
3,1547,154
3,1548,124
3,1549,48
3,1552,87
3,1554,187
3,1555,187
3,1558,49
3,1559,187
3,1568,124
3,1570,190
3,593,190
3,1367,192
3,40,192
3,1572,193
3,558,64
3,540,189
3,1370,192
3,1581,133
3,1582,124
3,1587,121
3,1594,129
3,1534,195
3,1595,91
3,1607,129
3,1467,102
3,1619,121
3,582,121
3,1620,121
3,1622,121
3,1430,196
3,1630,121
3,1593,129
3,1560,112
3,1647,101
3,1645,101
3,1648,101
3,1637,101
3,1650,101
3,1576,129
3,1649,197
3,1665,121
3,1369,192
3,1668,121
3,1670,196
3,1413,196
3,1143,112
3,651,129
3,1670,89
3,1684,112
3,1625,121
3,1368,192
3,1699,129
3,1701,162
3,1707,121
3,1709,162
3,1710,48
3,1027,89
3,1161,91
3,1718,64
3,855,91
3,417,198
3,1687,199
3,449,93
3,1738,48
3,836,202
3,1574,129
3,1743,129
3,1689,148
3,1692,148
3,1755,154
3,1757,121
3,1775,75
3,453,97
3,1617,89
3,1786,203
3,1010,107
3,1796,121
3,1798,112
3,1639,121
3,1633,121
3,1569,204
3,879,75
3,986,107
3,1783,107
3,443,94
3,1842,49
3,1033,112
3,1446,162
3,1853,48
3,529,205
3,1511,48
3,989,97
3,1201,89
3,159,42
3,1182,87
3,1875,101
3,1571,206
3,1897,48
3,1898,48
3,1898,23
3,1899,75
1,1922,207
3,1910,148
3,1935,88
3,1935,89
3,1944,97
3,1945,97
3,1946,97
3,590,190
3,1959,48
3,1960,208
3,1963,190
3,1964,124
3,1967,124
3,1968,124
3,714,116
3,1969,65
3,1971,121
3,1972,121
4,1997,32
3,1999,209
3,2000,210
3,673,107
4,2011,32
3,2013,210
3,2016,210
3,2015,210
3,2017,210
3,2018,210
3,2019,210
3,2014,210
3,2021,210
3,2022,210
4,1998,32
3,2023,210
3,2025,210
3,1843,162
3,2027,211
3,2020,210
3,2033,210
3,2039,210
3,1983,214
3,2002,217
3,2047,216
3,2006,217
3,2051,210
3,2007,217
3,1791,217
3,2053,217
3,2054,217
3,2050,217
3,2045,217
3,2057,217
3,2058,217
3,2061,216
3,2062,216
3,2063,210
3,2065,210
3,2071,210
3,2073,214
3,2077,214
3,2078,210
3,2080,210
3,2082,219
3,2084,217
3,2085,217
3,2087,219
3,1074,141
3,2089,210
3,2090,210
3,2088,220
3,2099,214
3,2098,97
3,1995,222
3,1988,217
3,2102,222
3,2012,222
3,2103,222
3,2101,222
3,2104,219
3,2107,210
3,2113,217
3,2116,210
3,2120,210
3,2123,217
3,2124,217
3,2122,217
3,2127,217
3,2128,217
3,2126,217
3,2129,217
3,2130,217
3,2132,217
3,2133,217
3,2131,217
3,2136,217
3,2137,217
3,2138,210
3,2139,210
3,2140,217
3,2141,210
3,2142,210
3,2042,225
3,2143,210
3,2144,210
3,2146,210
3,2147,210
3,2149,226
3,2152,229
3,1996,229
3,2154,229
3,2156,210
3,2151,231
3,2159,225
3,2162,210
3,2163,217
3,2163,222
3,2164,225
3,2167,210
3,2165,229
3,2135,211
3,2171,211
3,2176,217
3,2179,210
3,2067,224
3,2181,224
3,2182,224
3,2186,224
3,2188,224
3,2189,224
3,1997,224
3,2194,219
3,2196,217
3,2202,217
3,2203,224
3,2202,211
3,2204,233
3,2105,232
3,2207,224
3,2209,224
3,2210,225
3,2166,231
3,2211,224
3,2213,233
3,2212,233
3,1588,75
3,2034,230
3,2218,211
3,2220,217
3,2222,222
3,2224,233
3,2192,224
3,2192,233
3,2200,233
3,2227,233
3,2230,222
3,2231,233
3,2043,233
3,2205,233
3,2240,224
3,2245,236
3,2248,225
2,2215,237
3,2251,238
3,2252,211
3,2258,233
3,2255,240
3,2264,213
3,2201,240
3,2168,231
3,2268,240
3,2269,222
3,2225,240
3,2265,217
3,2276,238
3,2073,233
3,2278,238
3,2279,210
3,2163,236
3,2281,241
3,2282,242
3,2284,243
3,2244,243
3,2285,210
3,2286,210
3,2287,217
3,2289,210
3,2290,224
3,2291,210
3,2293,233
3,1986,213
3,2298,240
3,2119,229
3,2197,233
3,2296,244
3,2300,210
3,2307,216
3,2308,245
3,2309,238
3,2311,238
3,2312,238
3,1984,245
3,1996,245
3,2130,236
3,2320,245
3,2315,245
3,2030,224
3,2323,229
3,2326,222
3,2310,246
3,2280,247
3,2324,247
3,2329,240
3,2332,210
3,2333,238
3,2302,243
3,2341,240
3,2056,243
3,2190,240
3,2183,224
3,2344,244
3,2344,210
