0,1,2,3,4,5,6
25,45,70,40,0,70,2
35,60,70,50,30,70,2
15,20,25,5,5,25,6
0,45,15,0,15,40,4
55,50,70,45,40,90,4
30,70,60,50,35,70,4
40,60,60,25,20,40,5
35,40,70,35,50,40,6
30,40,60,20,50,40,2
20,35,90,0,15,65,2
35,25,10,20,15,40,6
40,20,40,55,60,30,3
50,20,20,30,70,30,5
70,40,70,55,30,60,5
65,80,100,40,30,80,2
60,35,25,55,90,25,3
70,40,40,30,15,80,2
35,60,50,45,30,55,5
70,45,70,30,15,35,5
60,50,40,40,60,60,3
40,70,60,20,10,50,5
70,50,60,50,60,80,5
55,20,40,30,65,40,3
100,100,100,100,100,100,6
70,60,50,35,20,30,6
70,80,60,55,20,60,6
50,20,55,30,30,50,6
55,50,80,30,25,70,2
45,30,60,50,60,40,3
80,40,40,35,15,20,6
55,35,55,25,0,70,6
45,70,70,25,25,80,6
45,70,45,45,5,70,6
45,60,10,0,35,65,2
70,40,60,50,80,40,100
50,40,70,50,70,50,100
45,30,30,25,15,40,100
0,50,0,0,25,0,6
40,50,70,45,30,35,4
5,20,5,0,0,25,6
55,50,40,15,25,70,100
60,40,50,70,15,70,5
50,55,35,10,5,35,100
70,70,40,90,60,60,100
30,45,60,20,0,55,6
40,30,70,35,15,60,2
15,20,50,0,15,40,2
35,35,35,20,15,45,5
30,50,40,40,20,60,1
60,50,50,35,30,60,5
50,20,25,25,30,50,5
40,30,20,40,50,30,3
70,40,5,25,30,65,6
25,45,35,10,30,25,3
35,60,10,20,15,45,6
50,60,40,20,15,60,6
60,80,100,25,40,80,2
50,70,20,30,5,75,6
40,50,20,45,5,45,6
50,50,60,15,15,55,2
80,70,80,30,25,80,5
15,40,50,15,15,60,1
25,65,80,0,5,90,2
30,65,65,20,45,90,3
25,50,70,35,30,60,2
60,90,90,80,55,90,2
40,25,30,25,0,75,6
50,35,40,30,20,60,6
80,80,90,55,20,90,100
70,50,60,45,15,80,1
60,55,40,40,5,20,1
50,50,30,35,20,40,6
15,50,25,20,0,50,2
40,25,70,5,0,35,2
60,70,70,35,30,60,1
40,40,30,35,15,60,6
25,45,50,10,15,60,2
40,40,30,15,20,50,2
70,55,30,40,15,65,6
70,50,40,45,5,70,6
40,35,0,35,15,15,6
65,70,100,45,25,90,6
60,50,40,35,35,40,6
65,40,25,40,15,40,4
50,50,70,35,15,60,2
30,40,40,30,20,50,1
0,25,0,0,15,25,6
50,50,70,40,50,45,2
60,50,70,20,40,60,2
10,40,25,20,10,50,5
25,50,30,25,20,70,2
50,80,90,20,15,80,2
50,50,60,25,20,35,5
60,30,55,30,20,70,6
50,60,60,25,20,60,5
35,60,70,20,20,60,100
60,50,40,25,15,40,2
70,35,30,15,40,50,5
30,20,15,15,15,65,6
50,20,15,20,40,40,5
50,70,40,70,25,80,2
50,40,20,20,15,45,1
20,30,20,40,15,50,2
40,50,60,35,40,50,4
35,35,30,5,5,50,4
25,40,30,20,15,30,2
25,70,40,35,5,40,2
65,90,90,55,25,90,100
50,50,60,60,40,50,4
45,45,55,55,25,80,6
15,50,30,20,20,60,2
50,35,45,35,15,50,4
35,40,20,20,20,50,6
70,70,25,50,25,70,4
70,70,80,45,25,70,6
20,50,20,35,20,35,5
40,60,40,50,40,60,2
35,65,25,55,20,60,6
60,40,30,30,30,30,5
40,60,70,15,15,50,1
50,35,30,0,35,15,5
20,35,45,5,15,70,1
5,25,80,0,5,55,2
50,70,80,45,15,60,2
35,60,70,10,15,70,2
60,70,60,25,15,40,6
80,45,40,30,30,70,2
70,50,40,25,15,40,2
40,70,70,45,15,70,2
70,70,30,35,20,60,6
25,35,30,40,15,45,6
60,50,90,45,15,60,1
30,40,30,25,15,25,6
30,60,35,10,15,70,2
70,70,100,35,30,90,2
45,80,70,25,5,70,1
40,80,80,20,30,90,5
20,50,50,25,20,40,2
60,40,20,25,30,55,2
30,50,30,25,20,50,4
40,100,70,50,25,70,1
55,80,80,75,30,90,2
35,25,60,30,5,50,2
0,25,20,15,35,10,3
25,50,40,55,20,60,2
35,90,80,40,30,70,2
40,40,50,10,15,45,6
45,80,50,30,15,70,6
40,20,60,15,5,70,6
60,30,30,25,20,30,6
55,50,50,55,5,60,2
70,50,50,60,35,60,6
45,50,60,15,5,35,6
40,30,40,30,20,40,6
20,20,40,25,0,70,1
50,40,50,55,5,40,1
70,40,40,25,15,35,5
20,50,30,35,10,40,4
20,50,70,15,20,70,1
50,30,50,50,30,60,5
20,45,20,30,0,45,6
90,100,70,55,50,80,2
30,50,40,20,30,40,1
50,50,40,20,20,50,6
15,30,40,15,15,60,5
60,60,70,30,20,70,5
60,40,40,30,25,40,2
40,50,90,45,15,60,2
35,60,60,35,20,60,2
20,55,5,10,15,30,2
50,45,35,30,20,40,2
50,45,35,25,15,50,6
30,50,50,40,20,30,6
40,50,60,20,15,50,6
50,70,70,50,30,70,5
80,80,25,45,60,50,6
0,0,0,0,0,0,1
55,40,15,20,40,40,5
70,25,45,20,20,35,5
40,55,60,15,15,50,1
35,50,60,20,15,40,1
60,60,50,25,20,50,6
40,60,30,35,10,50,6
50,40,35,30,5,40,6
