타임스탬프,1. 처음 오는 대학교 정문에는 도착했지만 본관까지는 길을 모를 때,2. 저 달라진 거 없어요?,3. 미용실 가서 머리 바꾸기,4. 정말 오랜만에 친구를 만났다. 그 이후는?,5. 카페에 갔는데 신메뉴가 나왓다,6. 아아 주문을 했는데 핫아가 나와버림,자신이 가입할 동아리는 어디인가요?
2022.5.19 오후 12:49:02,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,2. 같이 카페가서 다음에 만날 약속 잡음,1. 먹던거 먹는다,1. 그냥 먹는다,1. 문화/취미
2022.5.19 오후 1:04:08,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,1. 인사만 하고 헤어짐,2. 신메뉴를 먹어본다,2. 바꿔서 다시 달라한다,1. 문화/취미
2022.5.19 오후 1:07:54,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,2. 신메뉴를 먹어본다,2. 바꿔서 다시 달라한다,1. 문화/취미
2022.5.19 오후 1:09:01,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,2. 같이 카페가서 다음에 만날 약속 잡음,2. 신메뉴를 먹어본다,2. 바꿔서 다시 달라한다,6. 체육/레저
2022.5.19 오후 1:12:33,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,6. 체육/레저
2022.5.19 오후 1:21:15,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,2. 같이 카페가서 다음에 만날 약속 잡음,2. 신메뉴를 먹어본다,2. 바꿔서 다시 달라한다,1. 문화/취미
2022.5.19 오후 1:25:02,1. 지나가는 사람에게 물어본다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,2. 신메뉴를 먹어본다,2. 바꿔서 다시 달라한다,2. 공연/예술/음악
2022.5.19 오후 1:28:48,1. 지나가는 사람에게 물어본다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,1. 인사만 하고 헤어짐,2. 신메뉴를 먹어본다,2. 바꿔서 다시 달라한다,1. 문화/취미
2022.5.19 오후 1:29:57,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,2. 신메뉴를 먹어본다,1. 그냥 먹는다,6. 체육/레저
2022.5.19 오후 1:33:02,1. 지나가는 사람에게 물어본다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,1. 문화/취미
2022.5.19 오후 1:40:38,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,2. 공연/예술/음악
2022.5.19 오후 1:43:26,1. 지나가는 사람에게 물어본다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,1. 그냥 먹는다,5. 봉사
2022.5.19 오후 1:47:17,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,2. 같이 카페가서 다음에 만날 약속 잡음,2. 신메뉴를 먹어본다,2. 바꿔서 다시 달라한다,1. 문화/취미
2022.5.19 오후 1:51:06,1. 지나가는 사람에게 물어본다,2. 1가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,1. 그냥 먹는다,3. 종교
2022.5.19 오후 1:51:17,1. 지나가는 사람에게 물어본다,3. 못찾았다,1. 머리를 바꿔본다,2. 같이 카페가서 다음에 만날 약속 잡음,2. 신메뉴를 먹어본다,2. 바꿔서 다시 달라한다,1. 문화/취미
2022.5.19 오후 1:51:36,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,1. 문화/취미
2022.5.19 오후 1:51:39,1. 지나가는 사람에게 물어본다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,1. 문화/취미
2022.5.19 오후 1:55:08,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,1. 그냥 먹는다,5. 봉사
2022.5.19 오후 1:55:09,1. 지나가는 사람에게 물어본다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,2. 신메뉴를 먹어본다,1. 그냥 먹는다,6. 체육/레저
2022.5.19 오후 1:57:01,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,1. 문화/취미
2022.5.19 오후 1:57:07,1. 지나가는 사람에게 물어본다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,6. 체육/레저
2022.5.19 오후 1:57:07,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,2. 신메뉴를 먹어본다,2. 바꿔서 다시 달라한다,2. 공연/예술/음악
2022.5.19 오후 1:57:27,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,2. 같이 카페가서 다음에 만날 약속 잡음,2. 신메뉴를 먹어본다,1. 그냥 먹는다,1. 문화/취미
2022.5.19 오후 1:58:02,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,2. 신메뉴를 먹어본다,1. 그냥 먹는다,1. 문화/취미
2022.5.19 오후 1:58:37,1. 지나가는 사람에게 물어본다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,2. 같이 카페가서 다음에 만날 약속 잡음,2. 신메뉴를 먹어본다,1. 그냥 먹는다,2. 공연/예술/음악
2022.5.19 오후 2:00:41,2. 지도 어플을 켠다,3. 못찾았다,1. 머리를 바꿔본다,2. 같이 카페가서 다음에 만날 약속 잡음,2. 신메뉴를 먹어본다,1. 그냥 먹는다,6. 체육/레저
2022.5.19 오후 2:01:27,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,2. 공연/예술/음악
