0,1,2,3,4,5,6
80,20,60,40,40,60,1
40,60,20,80,40,60,1
40,60,60,40,40,60,1
30,70,30,70,30,70,6
70,30,70,30,30,70,6
60,40,40,60,20,80,1
30,70,70,30,70,30,2
60,40,80,20,60,40,1
30,70,70,30,70,30,6
60,40,80,20,60,40,1
100,0,80,20,20,80,2
50,50,90,10,90,10,5
30,70,30,70,30,70,1
40,60,60,40,80,20,3
40,60,20,80,40,60,1
70,30,70,30,30,70,1
60,40,80,20,60,40,1
60,40,80,20,60,40,5
20,80,80,20,100,0,6
70,30,70,30,30,70,1
60,40,80,20,60,40,6
40,60,60,40,40,60,2
20,80,40,60,60,40,1
30,70,70,30,70,30,1
40,60,60,40,80,20,2
40,60,20,80,40,60,6
70,30,70,30,30,70,2
60,40,80,20,60,40,4
60,40,40,60,20,80,1
100,0,80,20,20,80,6
90,10,90,10,50,50,6
60,40,80,20,60,40,4
20,80,40,60,60,40,1
70,30,70,30,30,70,7
40,60,60,40,80,20,5
50,50,50,50,50,50,2
70,30,70,30,30,70,5
80,20,60,40,40,60,2
70,30,70,30,30,70,1
60,40,80,20,60,40,6
60,40,80,20,60,40,1
70,30,70,30,70,30,2
90,10,90,10,50,50,1
70,30,70,30,30,70,2
20,80,40,60,60,40,6
100,0,80,20,20,80,2
70,30,70,30,30,70,2
20,80,80,20,100,0,1
90,10,90,10,50,50,2
100,0,80,20,20,80,5
60,40,80,20,60,40,2
60,40,40,60,20,80,2
60,40,40,60,20,80,4
60,40,80,20,60,40,1
60,40,80,20,60,40,1
60,40,80,20,60,40,2
40,60,60,40,40,60,1
90,10,90,10,50,50,1
30,70,30,70,30,70,2
30,70,70,30,70,30,1
60,40,40,60,20,80,1
100,0,80,20,20,80,1
60,40,80,20,60,40,1
90,10,90,10,50,50,2
60,40,80,20,60,40,6
40,60,60,40,40,60,1
70,30,70,30,30,70,2
80,20,60,40,40,60,5
50,50,50,50,50,50,2
20,80,40,60,60,40,6
60,40,40,60,20,80,6
100,0,80,20,20,80,1
100,0,80,20,20,80,1
40,60,20,80,40,60,6
60,40,80,20,60,40,6
60,40,80,20,60,40,1
60,40,80,20,60,40,2
90,10,90,10,50,50,2
50,50,90,10,90,10,1
40,60,60,40,40,60,1
60,40,80,20,60,40,1
30,70,70,30,70,30,2
70,30,70,30,30,70,1
30,70,70,30,70,30,7
50,50,50,50,50,50,2
70,30,70,30,30,70,1
80,20,60,40,40,60,1
60,40,80,20,60,40,4
70,30,70,30,30,70,6
30,70,70,30,70,30,1
60,40,80,20,60,40,1
20,80,40,60,60,40,1
100,0,80,20,20,80,1
70,30,70,30,30,70,6
60,40,80,20,60,40,2
60,40,80,20,60,40,1
20,80,80,20,100,0,6
70,30,70,30,30,70,1
60,40,80,20,60,40,1
70,30,70,30,30,70,1
60,40,80,20,60,40,2
60,40,40,60,20,80,6
90,10,90,10,50,50,6
80,20,60,40,40,60,6
50,50,50,50,50,50,1
50,50,50,50,50,50,2
60,40,80,20,60,40,2
20,80,40,60,60,40,1
90,10,90,10,50,50,2
60,40,80,20,60,40,1
70,30,70,30,30,70,1
40,60,60,40,40,60,1
40,60,60,40,40,60,1
80,20,60,40,40,60,6
40,60,60,40,80,20,6
80,20,60,40,40,60,6
90,10,90,10,50,50,1
40,60,60,40,40,60,2
50,50,90,10,90,10,3
70,30,70,30,30,70,2
20,80,40,60,60,40,5
60,40,80,20,60,40,6
20,80,40,60,60,40,3
20,80,40,60,60,40,3
90,10,50,50,10,90,3
50,50,50,50,50,50,1
50,50,50,50,50,50,1
60,40,80,20,60,40,1
60,40,80,20,60,40,6
100,0,80,20,20,80,1
90,10,90,10,50,50,1
60,40,80,20,60,40,6
60,40,80,20,60,40,6
60,40,80,20,60,40,1
60,40,80,20,60,40,6
50,50,50,50,50,50,6
40,60,60,40,80,20,1
30,70,70,30,70,30,6
60,40,80,20,60,40,5
40,60,60,40,80,20,2
90,10,50,50,10,90,2
60,40,80,20,60,40,6
80,20,60,40,40,60,4
60,40,40,60,20,80,1
20,80,40,60,60,40,1
30,70,70,30,70,30,6
60,40,80,20,60,40,6
50,50,90,10,90,10,1
90,10,90,10,50,50,4
30,70,70,30,70,30,7
60,40,80,20,60,40,6
70,30,70,30,30,70,1
70,30,70,30,30,70,2
40,60,60,40,80,20,1
50,50,50,50,50,50,1
20,80,40,60,60,40,7
60,40,80,20,60,40,4
90,10,90,10,50,50,2
20,80,40,60,60,40,2
50,50,50,50,50,50,1
30,70,70,30,70,30,1
60,40,40,60,20,80,1
90,10,90,10,50,50,2
100,0,80,20,20,80,6
100,0,80,20,20,80,1
50,50,50,50,50,50,6
100,0,80,20,20,80,1
60,40,80,20,60,40,2
70,30,70,30,30,70,6
50,50,50,50,50,50,2
70,30,70,30,30,70,6
60,40,80,20,60,40,4
40,60,60,40,80,20,4
50,50,50,50,50,50,6
60,40,80,20,60,40,1
70,30,70,30,30,70,1
70,30,70,30,30,70,1
70,30,70,30,30,70,6
100,0,80,20,20,80,2
70,30,70,30,30,70,1
20,80,40,60,60,40,1
40,60,60,40,80,20,2
20,80,40,60,60,40,2
60,40,40,60,20,80,1
40,60,60,40,80,20,2
60,40,80,20,60,40,1
40,60,60,40,40,60,1
60,40,40,60,20,80,2
70,30,70,30,30,70,1
30,70,70,30,70,30,6
60,40,80,20,60,40,5
70,30,70,30,30,70,6
40,60,60,40,40,60,1
40,60,60,40,40,60,2
70,30,70,30,30,70,1
90,10,50,50,10,90,6
20,80,80,20,100,0,2
90,10,50,50,10,90,2
70,30,70,30,30,70,6
90,10,90,10,50,50,1
60,40,40,60,20,80,5
60,40,40,60,20,80,1
40,60,60,40,80,20,6
70,30,70,30,30,70,1
70,30,70,30,30,70,1
50,50,90,10,90,10,2
60,40,80,20,60,40,1
40,60,60,40,40,60,6
30,70,30,70,30,70,7
70,30,70,30,30,70,7
70,30,70,30,30,70,1
60,40,80,20,60,40,1
20,80,40,60,60,40,2
100,0,80,20,20,80,1
60,40,80,20,60,40,1
40,60,60,40,40,60,1
70,30,70,30,30,70,6
30,70,30,70,30,70,1
70,30,70,30,30,70,1
50,50,50,50,50,50,2
50,50,50,50,50,50,2
55,70,85,65,40,85,2
